machine;size;tilew;tileh;threads;kernel;variant;iterations;schedule;label;arg;time
ernst;6208;32;32;48;life;seq;1000;;unlabelled;meta3x3;36373093
ernst;6208;1;1;48;life;ocl_finish;1000;;unlabelled;meta3x3;37879048
ernst;6208;1;2;48;life;ocl_finish;1000;;unlabelled;meta3x3;19843411
ernst;6208;1;4;48;life;ocl_finish;1000;;unlabelled;meta3x3;13552483
ernst;6208;1;8;48;life;ocl_finish;1000;;unlabelled;meta3x3;13150038
ernst;6208;1;16;48;life;ocl_finish;1000;;unlabelled;meta3x3;12770218
ernst;6208;1;32;48;life;ocl_finish;1000;;unlabelled;meta3x3;12647326
ernst;6208;1;64;48;life;ocl_finish;1000;;unlabelled;meta3x3;12608471
ernst;6208;2;1;48;life;ocl_finish;1000;;unlabelled;meta3x3;19220797
ernst;6208;2;2;48;life;ocl_finish;1000;;unlabelled;meta3x3;10072953
ernst;6208;2;4;48;life;ocl_finish;1000;;unlabelled;meta3x3;6960923
ernst;6208;2;8;48;life;ocl_finish;1000;;unlabelled;meta3x3;6710452
ernst;6208;2;16;48;life;ocl_finish;1000;;unlabelled;meta3x3;6501601
ernst;6208;2;32;48;life;ocl_finish;1000;;unlabelled;meta3x3;6478910
ernst;6208;2;64;48;life;ocl_finish;1000;;unlabelled;meta3x3;6526717
ernst;6208;4;1;48;life;ocl_finish;1000;;unlabelled;meta3x3;9753231
ernst;6208;4;2;48;life;ocl_finish;1000;;unlabelled;meta3x3;5135823
ernst;6208;4;4;48;life;ocl_finish;1000;;unlabelled;meta3x3;3617830
ernst;6208;4;8;48;life;ocl_finish;1000;;unlabelled;meta3x3;3455005
ernst;6208;4;16;48;life;ocl_finish;1000;;unlabelled;meta3x3;3429680
ernst;6208;4;32;48;life;ocl_finish;1000;;unlabelled;meta3x3;3454666
ernst;6208;4;64;48;life;ocl_finish;1000;;unlabelled;meta3x3;3455216
ernst;6208;8;1;48;life;ocl_finish;1000;;unlabelled;meta3x3;5089147
ernst;6208;8;2;48;life;ocl_finish;1000;;unlabelled;meta3x3;2684809
ernst;6208;8;4;48;life;ocl_finish;1000;;unlabelled;meta3x3;1844966
ernst;6208;8;8;48;life;ocl_finish;1000;;unlabelled;meta3x3;1884885
ernst;6208;8;16;48;life;ocl_finish;1000;;unlabelled;meta3x3;1868337
ernst;6208;8;32;48;life;ocl_finish;1000;;unlabelled;meta3x3;1884584
ernst;6208;8;64;48;life;ocl_finish;1000;;unlabelled;meta3x3;1978622
ernst;6208;16;1;48;life;ocl_finish;1000;;unlabelled;meta3x3;2694893
ernst;6208;16;2;48;life;ocl_finish;1000;;unlabelled;meta3x3;1474351
ernst;6208;16;4;48;life;ocl_finish;1000;;unlabelled;meta3x3;1074889
ernst;6208;16;8;48;life;ocl_finish;1000;;unlabelled;meta3x3;1070588
ernst;6208;16;16;48;life;ocl_finish;1000;;unlabelled;meta3x3;1130003
ernst;6208;16;32;48;life;ocl_finish;1000;;unlabelled;meta3x3;1278482
ernst;6208;16;64;48;life;ocl_finish;1000;;unlabelled;meta3x3;1602886
ernst;6208;32;1;48;life;ocl_finish;1000;;unlabelled;meta3x3;1542308
ernst;6208;32;2;48;life;ocl_finish;1000;;unlabelled;meta3x3;883589
ernst;6208;32;4;48;life;ocl_finish;1000;;unlabelled;meta3x3;882695
ernst;6208;32;8;48;life;ocl_finish;1000;;unlabelled;meta3x3;924625
ernst;6208;32;16;48;life;ocl_finish;1000;;unlabelled;meta3x3;1033852
ernst;6208;32;32;48;life;ocl_finish;1000;;unlabelled;meta3x3;1243552
ernst;6208;64;1;48;life;ocl_finish;1000;;unlabelled;meta3x3;883971
ernst;6208;64;2;48;life;ocl_finish;1000;;unlabelled;meta3x3;875740
ernst;6208;64;4;48;life;ocl_finish;1000;;unlabelled;meta3x3;919560
ernst;6208;64;8;48;life;ocl_finish;1000;;unlabelled;meta3x3;1016729
ernst;6208;64;16;48;life;ocl_finish;1000;;unlabelled;meta3x3;1242500
